emp_title,emp_length,homeownership,annual_income,debt_to_income,delinq_2y,earliest_credit_line,total_credit_lines,open_credit_lines,total_debit_limit,loan_purpose,loan_amount,balance,account_never_delinq_percent
educator,10,MORTGAGE,98000,13.01,0,2001,13,7,22000,other,4800,4313.05,100
director of account management ,10,MORTGAGE,90000,12.14,0,2004,19,10,18100,debt_consolidation,12000,11124.02,94.7
foreman,10,OWN,75000,30.46,6,1992,19,5,11300,home_improvement,35000,32016.12,57.9
bartender,4,RENT,26000,18.61,0,2004,6,4,3500,debt_consolidation,3200,2995.22,100
president,10,RENT,100000,15.1,0,1978,27,12,61400,major_purchase,12000,7180.69,100
clerk,10,OWN,65000,15.23,3,2004,19,7,4500,credit_card,5000,4432.23,84.2
executive assistant,1,RENT,72000,9.83,0,1980,10,7,7100,medical,1000,902.28,100
helicopter mechanic,2,RENT,75000,9.92,0,2000,17,5,42500,debt_consolidation,33750,32363.28,100
bh care planner,10,RENT,50000,22.12,0,2005,19,11,25600,credit_card,14400,13919.22,100
,NA,RENT,0,NA,1,2007,15,5,800,credit_card,30400,28510.4,60
material handler ,3,MORTGAGE,50000,24.7,0,2003,21,13,23000,home_improvement,24000,22560,100
vp of operations,2,MORTGAGE,135000,17.42,0,1991,32,8,26100,major_purchase,16800,16047.29,96.9
equipment coordinator,10,MORTGAGE,86000,20.44,0,2006,14,8,24500,other,1800,1423.8,100
mechanical integration leaded,0,MORTGAGE,110000,31.72,0,2007,43,25,141600,debt_consolidation,36000,34387.1,100
general manager,10,RENT,65000,8.9,0,2002,11,9,12500,debt_consolidation,10000,9159.37,100
registered nurse,7,MORTGAGE,72000,14.48,0,2003,27,17,7900,home_improvement,16000,15389.21,100
operations supervisor ,0,MORTGAGE,84676,26.31,0,2002,32,13,10000,debt_consolidation,30000,29509.19,100
chief operating officer,5,RENT,180000,2.91,0,1992,14,4,20000,house,24000,21671.17,100
senior server engineer,4,MORTGAGE,65000,17.99,0,2007,31,14,59600,credit_card,28000,25977.09,100
assistant director,1,MORTGAGE,55000,29.26,1,2006,12,8,13400,home_improvement,15000,14293.08,91.7
,NA,RENT,24000,25.1,0,2007,12,8,10400,debt_consolidation,5000,4539.23,83.3
radiology,10,MORTGAGE,36000,24.37,0,1992,27,8,18000,debt_consolidation,16000,13947.94,96.3
area distributor manager,3,MORTGAGE,150000,18.36,0,1997,10,4,63000,debt_consolidation,35000,32319.97,100
district supervisor,10,MORTGAGE,67000,9.08,1,1980,14,6,25900,debt_consolidation,30150,27332.78,93
,NA,MORTGAGE,40000,15.21,0,2005,31,11,30500,debt_consolidation,15000,14265.96,100
software engineer,2,RENT,64000,28.06,0,2009,18,15,21400,credit_card,18000,16733.47,100
rn,2,MORTGAGE,80000,17.99,0,2007,32,23,32300,debt_consolidation,26000,22987.54,100
human resources manager,2,RENT,60000,35.57,0,2007,44,24,15400,credit_card,10000,8997.38,100
police officer,10,MORTGAGE,120000,13.66,1,2004,14,4,1500,debt_consolidation,16800,15791.98,92.9
registered nurse,1,RENT,59000,9.32,4,2011,15,15,1500,major_purchase,9800,8252.5,73.3
medical receptionist,10,RENT,45000,6.43,0,2007,16,10,30700,debt_consolidation,16000,14447.46,100
cashier supervisor,2,RENT,41000,16.04,0,2008,25,12,17300,vacation,10000,8976.56,100
,NA,OWN,30000,5.92,0,2002,21,8,16900,other,10000,9280.21,100
corrections officer,3,MORTGAGE,42000,17.14,1,2010,26,19,2200,debt_consolidation,2500,2206.45,84.6
background investigator,5,MORTGAGE,54902,22.47,1,2005,46,9,2400,debt_consolidation,8000,0,93.5
print operator,3,RENT,40000,18.27,0,2005,12,11,16300,debt_consolidation,10000,9312.56,91.7
project manager,4,RENT,132000,13.51,0,2001,15,6,17100,debt_consolidation,40000,34997.78,93.3
smt,3,OWN,42000,22.26,0,2014,20,8,2000,credit_card,12000,10843.53,100
deputy of public works,10,RENT,65000,22.82,0,1997,36,13,19500,debt_consolidation,17000,16552.51,100
funeral director,10,MORTGAGE,140000,14.98,0,2005,29,16,16000,debt_consolidation,12000,10557.71,100
assistant professor,8,OWN,135000,22.34,2,2009,44,31,96000,debt_consolidation,11000,9818.37,93.2
,NA,MORTGAGE,30000,3.88,0,2004,29,6,14200,vacation,2500,2193.45,100
manager,6,RENT,90000,1.27,0,2007,11,6,31300,home_improvement,40000,36904.08,100
customer service,10,MORTGAGE,120000,3.02,0,2003,60,24,36500,debt_consolidation,31000,28828.08,100
clinic manager ,0,RENT,60000,11.61,1,2011,12,7,1100,renewable_energy,16000,15602.96,85.7
operations processing specialist ,10,MORTGAGE,30000,24.2,0,2002,40,7,22600,debt_consolidation,16000,15305.33,100
contracting officer,2,RENT,38411,9.41,0,2007,26,12,0,debt_consolidation,16000,14468.58,92.3
highway foreman,10,RENT,53527.6,10.47,0,2000,8,6,12600,debt_consolidation,30000,0,100
brand manager,5,RENT,70000,6.93,0,2011,14,9,4400,debt_consolidation,15000,13273.71,71.4
store manager,7,MORTGAGE,46000,50.51,0,1985,28,13,16400,debt_consolidation,22000,21196.6,82.1
ultrasound tech,1,MORTGAGE,53000,21.17,0,2001,18,9,20500,other,30000,28408.62,94.4
,NA,RENT,18000,7.13,0,1999,13,9,14400,other,10000,9811.79,100
truck driver,5,RENT,60000,1,0,2006,8,2,2300,credit_card,6000,5702.8,100
registered nurse,10,MORTGAGE,65000,6.46,0,1987,10,5,9600,debt_consolidation,13500,11866.6,100
shop forman,10,MORTGAGE,110000,24.19,1,2007,28,16,23100,debt_consolidation,10000,9109.69,96.4
rotary operator,3,MORTGAGE,40000,36.54,0,2010,28,19,12100,debt_consolidation,13000,12398.89,100
analyst,10,RENT,105000,26.16,3,2005,24,10,13300,small_business,6000,5446.97,79.2
cdl a driver warehouse tech,3,RENT,43500,26.73,0,2010,28,21,27100,debt_consolidation,19200,18224.57,96.3
building manager,10,RENT,96000,9.41,0,1994,23,15,84600,debt_consolidation,35000,33221.93,95.7
network engineer,10,MORTGAGE,92000,18.73,0,2004,18,10,35000,debt_consolidation,20225,18864.01,83.3
medical laboratory technologist,0,RENT,60000,35.44,0,2007,32,18,13400,credit_card,14000,13562.24,100
accounting assistant,4,RENT,40000,9.09,0,2008,14,9,5800,debt_consolidation,8000,7469.28,100
account manager,9,MORTGAGE,58000,6.58,0,2001,24,6,8500,home_improvement,10000,9757.82,100
manager,10,OWN,37840,26.86,0,2007,13,8,16600,credit_card,10000,0,92.3
admissions counselor,8,RENT,54000,29.28,0,2007,19,7,7000,other,25000,23317.7,100
dsr,9,MORTGAGE,128000,16.74,0,2006,19,9,27000,other,6000,5544.76,100
"sr, mgr, global network services",10,MORTGAGE,150000,21.21,2,1997,14,9,41800,other,32000,29696.74,78.6
driver,10,MORTGAGE,110000,18.94,0,2000,23,14,34200,debt_consolidation,32000,30834.37,91.3
,NA,MORTGAGE,75000,13.26,1,1982,21,11,9900,home_improvement,5000,4617.13,90.5
lvn care coordinator,4,RENT,90000,8.67,0,2005,25,11,36300,debt_consolidation,20000,19287.91,100
sales manager,4,MORTGAGE,120000,15.86,0,1984,31,14,57900,home_improvement,6000,5535.59,100
assistant general  manager ,4,RENT,85000,10.8,0,2003,34,19,41600,credit_card,16000,15124.28,100
"svp, americas",3,MORTGAGE,280000,9.36,0,2005,17,8,10000,home_improvement,12000,11136.26,76.5
electrician,4,MORTGAGE,65000,47.67,0,2002,24,12,43200,debt_consolidation,30000,28500.44,100
,NA,MORTGAGE,0,NA,0,1996,19,10,20000,debt_consolidation,27800,25764.48,77.8
parole agent iii,10,MORTGAGE,161000,20.46,0,2003,37,17,79200,credit_card,35000,33400,100
president,10,OWN,200000,26.96,0,2007,23,14,96500,debt_consolidation,35000,30854.83,100
it specialist,7,RENT,116365,9.42,0,2002,39,10,70000,credit_card,12000,11071.21,97.4
quality control manager,10,OWN,62823,39.39,0,1995,32,23,82100,debt_consolidation,25000,22122.84,100
fixed assets analyst,2,OWN,60000,25.28,0,2003,27,12,29100,credit_card,20000,19366.62,96.3
supervisor,10,MORTGAGE,52000,0.83,0,2005,16,3,4300,debt_consolidation,10000,9226.01,100
machine operator,10,MORTGAGE,45000,11.97,0,2005,18,7,37300,debt_consolidation,15000,14283.88,94.4
consultant,9,RENT,165000,10.81,0,2005,21,15,107600,debt_consolidation,20000,18509.07,100
facilities operations manager,5,RENT,94500,19.16,0,1988,32,25,66200,debt_consolidation,10000,8095.41,100
cook,5,RENT,18800,59.71,0,2011,8,7,7300,debt_consolidation,35000,31626.97,100
help desk manager,3,RENT,48000,20.7,0,2006,70,12,76100,credit_card,20000,18668.58,98.5
administration,2,OWN,29000,1.16,0,2008,11,7,11000,debt_consolidation,12000,0,100
massage therapoist,10,MORTGAGE,60000,5.1,1,2000,17,10,9300,debt_consolidation,1200,1146.49,29.4
 district manager,10,MORTGAGE,89000,10.96,0,2002,25,9,32500,debt_consolidation,15000,13448.8,100
program manager,4,MORTGAGE,127000,20.16,0,1989,27,9,54800,credit_card,19600,18560.28,96.3
cashier/salesperson,0,MORTGAGE,29000,23.63,0,2003,18,15,16900,debt_consolidation,7000,6522.2,94.4
sales director international ,2,OWN,145000,16.98,0,1991,23,14,124000,home_improvement,25000,21820.89,100
assistant principal,10,MORTGAGE,86000,19.09,1,1988,28,15,18500,debt_consolidation,5000,4548.62,92.9
financial director,10,OWN,100000,12.18,2,1989,31,13,26700,credit_card,20000,16815.37,90.3
sales,10,MORTGAGE,45000,22.01,1,1988,12,7,5600,home_improvement,7000,6316.09,75
administrstor,9,MORTGAGE,75000,15.9,1,1995,29,14,7900,debt_consolidation,10000,9589.11,75.9
senior analyst,4,MORTGAGE,80000,0.38,0,2010,10,4,54500,home_improvement,30000,28002.93,100
medical laboratory scientist,4,OWN,56000,14.05,0,2005,10,8,20200,credit_card,16000,13927.17,100
network infrastructure engineer,2,RENT,150000,13.89,0,1999,39,17,37200,debt_consolidation,12000,10782.62,100
actuary,1,MORTGAGE,145000,23.26,0,2003,11,7,23500,house,35000,0,100
director technology,6,RENT,250000,8.56,0,2000,21,10,43500,debt_consolidation,40000,37120.94,90.5
area sales director,0,OWN,50000,12.1,0,1989,30,18,34500,other,16000,15553.63,100
administrative assistant,10,MORTGAGE,50000,17.56,2,1990,31,15,2000,credit_card,3000,2780.98,80
office manager,10,MORTGAGE,34700,66.59,0,1994,22,12,28600,debt_consolidation,25000,23375.64,100
pastor,8,RENT,70000,29.92,0,1996,14,6,47400,small_business,6500,6035.43,92.9
supervisor,5,MORTGAGE,80000,26.16,0,2001,22,7,0,debt_consolidation,40000,38434.59,100
water inspector,10,MORTGAGE,130000,31.49,0,1987,43,26,144300,debt_consolidation,7000,6354.8,100
president,7,MORTGAGE,135000,20.42,0,2007,25,10,12000,debt_consolidation,20000,18059.32,100
senior lender specialist ii,1,RENT,43000,24.28,0,2008,13,4,11600,debt_consolidation,12000,10843.53,92.3
service manager,10,OWN,95000,16.5,0,2003,20,11,23700,credit_card,16000,14938.56,100
,NA,RENT,42204,20.02,0,2004,12,5,16800,credit_card,13000,12155.32,100
director of operations,10,MORTGAGE,109000,24.04,0,2006,20,12,42400,home_improvement,12000,11405.6,100
vice president ocean services,1,MORTGAGE,250000,16.78,0,1995,37,17,153100,debt_consolidation,10000,9469.53,100
accounting clerk iv,10,RENT,76012,16.5,1,1998,30,15,29900,debt_consolidation,20000,18977.65,96.7
owner/director,7,MORTGAGE,85000,21.68,0,2002,21,10,38500,credit_card,30000,28705.82,81
mechanical engineer,5,MORTGAGE,73000,13.08,0,2005,22,9,51900,credit_card,25000,21847.54,100
operating engineer,3,MORTGAGE,80000,10.5,0,2004,16,5,8500,house,30000,28588.97,100
dir strategic accounts,2,MORTGAGE,185000,28.52,1,1989,16,9,34300,debt_consolidation,35000,31580.53,92.9
rca professional,6,RENT,80000,25.44,0,1996,14,9,46400,debt_consolidation,30000,28199.99,92.9
assistant director,5,RENT,97000,9.39,0,2011,6,5,17800,debt_consolidation,5000,4488.26,100
surgeon ,0,RENT,60000,17,1,2005,45,14,31000,credit_card,13000,11655.63,93.3
manager,10,MORTGAGE,65000,19.55,0,2009,13,6,39000,debt_consolidation,12000,10759.06,100
lab manager/ dental assistant,10,RENT,38000,17.53,0,2005,14,7,11700,debt_consolidation,10000,9109.69,100
sergeant first class,10,MORTGAGE,78648,26.64,0,2003,17,10,8000,debt_consolidation,10000,9159.38,94.1
family assistance analyst ii,4,RENT,38043,38.33,0,1983,25,21,21200,debt_consolidation,10000,9334.29,100
admin aid,10,MORTGAGE,44000,13.75,0,2003,17,9,21400,debt_consolidation,11500,0,94.1
,NA,OWN,85000,24.64,0,2007,42,36,9500,credit_card,20000,19243.97,97.6
manager,5,MORTGAGE,95000,27.21,0,2006,41,18,21000,debt_consolidation,15000,14530.97,95.1
project manager,10,MORTGAGE,96000,29.28,0,2003,18,10,27000,debt_consolidation,40000,38594.07,88.9
assistant principal ,10,RENT,120000,8.48,0,2008,6,5,6100,credit_card,10000,9657.41,83.3
oral maxillofacial surgeon ,9,MORTGAGE,275000,1.48,0,2001,22,8,44700,debt_consolidation,40000,37337.22,100
education contractor,10,MORTGAGE,100000,6.25,0,2001,13,10,56500,debt_consolidation,35000,32319.97,100
engineer,5,MORTGAGE,180000,15.41,0,2007,35,18,46600,credit_card,40000,36904.08,100
district manager ,10,RENT,90000,14.59,0,1999,48,26,75900,moving,15000,14405.42,100
program manager,5,RENT,97000,8.56,0,2014,16,12,47300,other,18000,16173.97,93.8
shipping and receiving ,10,MORTGAGE,32760,17,0,2012,19,11,4000,debt_consolidation,12000,11136.26,100
sourcing manager,10,MORTGAGE,90000,12.23,0,2000,22,15,47500,debt_consolidation,20000,19224.92,90.9
brand ambassador/promotional model,2,RENT,33197,8.35,0,2008,6,6,18700,major_purchase,6000,5565.08,100
sen network analyst,10,MORTGAGE,122000,18.83,0,1995,55,19,53300,debt_consolidation,30000,28854.82,100
operations manager,5,RENT,35000,25.99,0,2013,14,12,10800,credit_card,5000,3980.41,100
security offier,5,RENT,40000,29.07,0,2009,14,10,7300,credit_card,5000,4420.65,92.9
manager ,5,OWN,55000,6.13,0,2014,3,3,7000,debt_consolidation,17000,15776.38,100
letter carrier,10,MORTGAGE,72500,12.78,0,1995,20,11,18500,debt_consolidation,22000,20330.58,100
manager,5,RENT,60000,7.34,0,2014,19,14,35100,credit_card,24000,23078.46,100
rn,5,RENT,75000,37.82,0,2002,38,18,5600,debt_consolidation,20000,17822.13,89.5
manager,8,MORTGAGE,102000,20.28,0,1994,40,23,70000,credit_card,34000,29831.41,100
business system technician,10,RENT,70000,19.03,0,1994,36,13,23800,debt_consolidation,15000,13491.43,100
director ,2,MORTGAGE,180000,15.36,0,2002,32,10,8500,credit_card,15000,13504.32,100
forklift operator,10,RENT,31942.63,16.16,0,1985,7,4,8600,credit_card,10000,9687.32,100
court officer,10,MORTGAGE,82000,28.49,1,1996,35,14,15200,home_improvement,28000,25472.33,93.3
leasing professional,1,RENT,24000,21.54,0,1992,22,7,29600,credit_card,5000,4386.95,100
dealer,1,OWN,52000,13.71,0,2007,18,9,40800,debt_consolidation,10000,9302.86,100
administrative assistant,9,OWN,38000,22.25,0,2002,28,7,11500,home_improvement,5000,4494.69,100
and assist,10,MORTGAGE,50000,26.89,0,1996,15,10,38200,credit_card,20000,18468.54,100
registered nurse,0,MORTGAGE,62000,4.51,1,1999,35,14,19000,other,40000,38328.35,91.4
technichian,8,MORTGAGE,60000,35.39,0,2005,34,18,21100,home_improvement,5000,4656.28,97.1
nurse ,3,MORTGAGE,85000,26.97,0,2005,39,23,21000,debt_consolidation,17000,16134.36,100
rn case manager,4,MORTGAGE,68000,25.94,0,2003,20,13,6100,debt_consolidation,16000,15499.69,100
registered nurse ,5,MORTGAGE,64000,20.44,0,2000,35,13,27200,debt_consolidation,32000,28894.92,96.6
teaching assistant,10,MORTGAGE,8000,144.74,0,2005,19,15,11900,debt_consolidation,25000,24093.55,100
marine mechanic,6,MORTGAGE,65000,18.82,0,2003,35,13,30200,debt_consolidation,6500,5838.25,88.6
field sales manager,5,RENT,56000,23.53,0,1997,12,5,35200,debt_consolidation,24000,22742.46,75
teacher,10,RENT,65000,9.8,0,2005,36,10,35500,debt_consolidation,24000,23145.51,78.6
clinical engineer,4,RENT,92000,24.99,0,2001,27,6,27000,debt_consolidation,25450,0,100
maintenance,2,RENT,40000,15.84,0,1991,27,15,66405,debt_consolidation,18000,15807.67,96
csr,1,RENT,30000,21.4,0,2005,11,6,6900,debt_consolidation,3200,2994.04,81.8
fulfillment associate,3,RENT,30000,34.16,0,2005,16,6,7100,credit_card,11250,10441.51,100
vp,8,MORTGAGE,135000,17.8,0,2001,27,14,27100,debt_consolidation,19200,18487.26,100
saws,1,RENT,35000,27.91,0,1999,25,12,17900,credit_card,9000,7874.47,100
ditect support proffessional,7,RENT,85000,9.52,0,2008,24,6,23000,debt_consolidation,18000,17083.45,100
,NA,OWN,15864,20.65,0,2000,13,7,11900,car,4000,3614.51,100
category coordinator,3,RENT,33000,27.16,0,2012,10,8,16500,credit_card,10000,9628.77,100
rn,8,MORTGAGE,72000,27.95,0,2003,49,25,31100,debt_consolidation,20000,17682.7,100
customer manager,3,MORTGAGE,78000,10.86,0,1998,45,16,28000,credit_card,6025,0,95.5
college store coordinator,10,MORTGAGE,43000,11.11,0,1998,18,9,13600,debt_consolidation,6400,0,100
,NA,MORTGAGE,19200,132.06,0,1989,35,19,89900,debt_consolidation,35000,33188.6,100
supervisor,9,RENT,68000,13.06,0,2004,12,6,17900,debt_consolidation,13000,11755.73,100
care nurse ,7,RENT,67400,1.83,0,2007,4,3,5900,medical,24000,20948.06,100
claims adjuster,3,MORTGAGE,85000,20.23,0,2000,29,17,34000,debt_consolidation,20000,19357.88,100
consultant,0,RENT,70000,0.86,0,2013,4,3,7500,other,1000,900.26,100
lead clerk,10,RENT,73000,18.99,0,1995,23,14,35600,vacation,5600,5182.51,100
flight coordinator,10,MORTGAGE,62000,31.62,0,1988,25,15,64900,credit_card,35000,33143.41,100
systems administrator,1,RENT,58000,6.62,0,2004,25,18,15400,debt_consolidation,17500,16695.78,100
machine operator,1,RENT,35360,10.35,0,2011,7,5,18300,other,15000,13617.31,100
store manager,10,MORTGAGE,87000,19.67,0,1997,22,9,13400,debt_consolidation,4800,3910.67,95.5
account manager,0,MORTGAGE,150000,39.1,0,2004,36,12,34000,debt_consolidation,25000,24250.66,91.7
field supervision director insurance,10,MORTGAGE,92000,20.41,0,1986,38,20,47500,debt_consolidation,36000,33372.12,81.6
vp of east coast operations ,0,MORTGAGE,200000,5.54,2,1981,27,12,30600,other,1650,1441.89,92.6
process engineer,3,MORTGAGE,100000,26.82,0,2000,41,24,83500,credit_card,30000,26929.36,100
deputy clerk,10,MORTGAGE,65000,15.73,1,2001,16,8,5300,credit_card,15000,14177.43,75
enterprise support manager,7,RENT,166088,8.51,0,2000,11,6,108800,debt_consolidation,25000,21847.54,100
case manager,7,MORTGAGE,49000,13.08,0,2000,20,8,0,credit_card,17500,16594.28,95
financial reporting manager,8,RENT,100000,17.39,0,2005,13,9,19400,debt_consolidation,20000,19128.86,92.3
deputy director,10,MORTGAGE,103000,27.48,0,1998,64,19,50900,debt_consolidation,24000,22024.78,96.9
forklift operator,5,MORTGAGE,32000,36.38,0,2005,20,12,30200,other,3500,3085.45,100
registered nurse,5,RENT,60000,25.54,0,2005,34,7,25500,debt_consolidation,6000,5548.75,100
tech 3 ,10,MORTGAGE,95000,19.61,0,1999,24,13,38200,debt_consolidation,39275,36918.47,100
mio specialist,10,RENT,54000,16.87,0,2006,26,22,12700,home_improvement,20000,18903.27,96.2
senior billing specialist,10,MORTGAGE,37000,3.7,0,1998,4,3,500,debt_consolidation,16000,14939.54,100
supply management specialist,10,OWN,103000,13.72,0,2004,10,5,10900,home_improvement,8000,7128.82,100
tso,2,RENT,46000,20.61,0,2013,12,12,4500,credit_card,4800,3313.71,100
,NA,OWN,0,NA,0,2011,16,11,12500,debt_consolidation,32000,31050.95,100
bakery,3,OWN,30000,3.56,1,1995,17,8,1000,other,20000,18509.07,82.4
sales,2,MORTGAGE,150000,17.96,0,2007,33,17,65800,debt_consolidation,40000,36229.06,100
reservations agent ,3,RENT,30000,16.12,0,2010,6,4,7400,credit_card,5000,4501.41,100
driver / warehouse,10,RENT,92000,13.08,0,2004,10,4,10000,credit_card,8000,7442.2,100
police officer,10,RENT,130000,13.89,1,2005,21,5,22400,debt_consolidation,40000,38666.1,95.2
foreman,3,RENT,74000,12.96,0,2007,8,6,8100,other,22000,20487.62,100
conference coordinator,2,MORTGAGE,80400,11.28,0,1994,11,10,35100,credit_card,12000,11536.1,100
lead line service tech,3,RENT,40000,21.57,0,2013,7,5,3000,credit_card,10000,8841.35,71.4
weighmaster,10,RENT,50000,10.73,1,2006,12,8,13500,other,4800,4387.32,91.7
receptionist,5,RENT,76000,17.79,0,1993,25,15,5000,other,4300,3795.1,95.7
vision center sales,7,RENT,55000,17.76,0,2005,24,14,36900,major_purchase,36000,24376.7,100
sales executive,3,MORTGAGE,100000,29.76,0,2008,25,14,66000,credit_card,20000,17923.89,100
it analyst ii,2,MORTGAGE,118000,13.95,0,1994,48,20,103400,debt_consolidation,10000,8965.88,100
,NA,MORTGAGE,30457,29.2,0,1984,49,17,17600,credit_card,1100,482.41,100
owner/agent,5,MORTGAGE,117000,0.42,0,2004,13,8,27900,home_improvement,40000,35095.78,100
service delivery manager,1,MORTGAGE,113000,6.06,1,1988,29,6,26800,home_improvement,20000,18981.6,75.9
director,5,MORTGAGE,320000,10.72,1,2003,15,7,10000,other,4000,3526.26,66.7
registrar,10,RENT,51900,11.01,0,1996,17,10,16800,major_purchase,12500,12058.74,100
private investigator ,5,MORTGAGE,85000,10.51,0,1994,22,10,34000,debt_consolidation,20000,19021.05,95.5
operator,6,MORTGAGE,65000,16.14,0,2002,26,11,60100,debt_consolidation,17425,16734.28,100
therapist,0,RENT,57000,5.31,0,2002,20,3,7000,medical,7000,6646.86,100
sales and leasing agent,8,RENT,120000,16.9,0,2004,18,7,8500,other,15000,0,100
registered nurse ,7,RENT,95000,9.46,2,2003,36,14,18300,debt_consolidation,7200,6328.85,83.3
,NA,OWN,50000,9.84,0,2009,7,6,31200,credit_card,20000,18482.56,100
assistant professor,2,RENT,71000,22.5,0,2005,23,17,44800,credit_card,7000,6117.28,100
credit manager,10,MORTGAGE,80000,16.42,0,2012,14,9,12200,debt_consolidation,22000,20963.18,100
mechanic,10,MORTGAGE,90000,12.61,0,2000,14,9,46400,credit_card,6000,5075.74,100
full time rn,10,MORTGAGE,120000,20.48,0,1990,27,16,46300,debt_consolidation,35000,32725.88,92.6
supplier diversity ,4,MORTGAGE,68274,17.05,1,2004,19,13,3500,home_improvement,24000,23436.77,77.8
office managetr ,10,RENT,72000,24.67,0,2001,36,22,47200,debt_consolidation,25000,23119.84,100
safety manager,7,RENT,40000,8.4,0,2013,11,6,40600,debt_consolidation,4000,3690.38,100
parts dept / buyer ,10,MORTGAGE,50000,27.46,0,2006,19,11,14200,debt_consolidation,28000,27040.75,100
enterprise storage engineer ,1,MORTGAGE,142000,14.92,0,2013,23,15,41500,debt_consolidation,8000,7437.1,95.7
delivery driver,2,RENT,50000,14.19,2,2006,8,6,10400,other,9600,8681.12,75
consultant,3,RENT,54000,20.69,0,2004,31,24,7000,debt_consolidation,6500,5834.78,100
executive assistant/ accts coord,1,MORTGAGE,35000,43.44,0,1997,24,13,18500,debt_consolidation,20000,19131.7,100
,NA,RENT,38000,11.28,0,2009,7,6,2000,debt_consolidation,3000,0,100
,NA,RENT,14616,39.08,0,1987,35,15,7700,debt_consolidation,8000,7469.28,100
director of purchasing ,2,MORTGAGE,100000,11.58,1,2001,32,16,33200,debt_consolidation,10000,9097.26,95.5
yard master,10,MORTGAGE,92500,9.8,0,1986,29,8,19000,debt_consolidation,35000,0,66
mental health tech/ staff development,10,RENT,65000,11.84,0,2000,30,14,12300,major_purchase,35000,31796.51,72.4
general manager,10,RENT,40000,17.67,1,2003,12,9,13400,debt_consolidation,7000,6489,45.5
,NA,MORTGAGE,59000,20.74,2,1985,13,8,3800,debt_consolidation,10500,9733.52,69.2
foreman ,10,MORTGAGE,75000,10.27,0,2004,22,12,24600,small_business,28000,26890.12,86.4
access service librarian,10,MORTGAGE,64000,21.85,0,1992,32,12,26310,home_improvement,15000,14443.3,97
maintenance engineer,10,MORTGAGE,62000,16.9,0,2005,18,12,13500,debt_consolidation,15000,13920.33,88.9
front office ,4,MORTGAGE,40000,21.42,0,2001,14,8,6400,credit_card,6500,5730.14,92.9
pharmacist,10,MORTGAGE,175000,30.74,0,1994,49,27,139900,other,35000,32367.76,100
pse,2,RENT,90000,19.23,8,2007,23,14,4300,credit_card,15000,13319.42,59.1
maintenance supervisor ,2,RENT,83000,11.34,1,2007,14,9,9000,credit_card,11000,9947.14,92.3
auto advisor supervisor,10,MORTGAGE,70000,23.14,1,2000,13,8,2200,other,30000,29145.31,69.2
cook,0,RENT,32000,27.01,0,2006,14,8,17500,moving,7500,7182.52,100
"vp, technology",10,MORTGAGE,189000,10.91,0,2001,26,16,163200,debt_consolidation,21000,20085.27,100
auditor,10,MORTGAGE,70000,17.81,0,1995,19,8,20700,debt_consolidation,32000,29680.81,100
driver,10,OWN,35000,9.98,0,2013,6,5,2300,debt_consolidation,9800,8664.5,100
reporter,10,RENT,47128,14.34,1,2005,12,5,3800,debt_consolidation,4000,3721.1,81.8
branch operations,10,MORTGAGE,130500,29.63,0,2000,36,21,53100,debt_consolidation,25000,23938.7,100
application consultant,2,MORTGAGE,60000,11,0,2014,11,9,14500,credit_card,15000,13160.89,100
nurse ,10,MORTGAGE,85000,18.92,2,1991,21,7,18300,debt_consolidation,12000,0,90.5
,NA,MORTGAGE,80000,26.12,0,2006,18,13,33900,debt_consolidation,35000,32678.16,100
insurance agent,5,MORTGAGE,64000,27.94,1,1992,38,22,82800,debt_consolidation,16000,15236.35,97.4
driver ,3,RENT,48000,12.59,0,2007,13,6,2600,debt_consolidation,13000,11323.8,90
owner,10,MORTGAGE,116000,29.26,0,1982,49,24,98800,debt_consolidation,20000,17988.61,98
office manager ,10,RENT,60000,10.2,0,2004,29,21,24000,debt_consolidation,38000,36496.99,96.6
administrative,10,RENT,55000,12.79,0,1997,37,16,33900,debt_consolidation,10000,9002.87,96.7
debt collector,3,RENT,60000,24.66,0,2002,18,9,13500,credit_card,13000,0,100
teacher,0,RENT,44000,17.08,0,2005,13,8,19700,other,30000,28626.62,100
teller,6,MORTGAGE,31304,85.01,0,1993,22,13,17200,debt_consolidation,34800,32295.24,100
associate professor,5,RENT,173180,30.61,0,2002,28,17,42800,debt_consolidation,30000,27478.18,100
warehouse associate,1,MORTGAGE,28000,1.07,0,2007,14,3,7000,other,6500,6191.69,100
nurse,10,MORTGAGE,52600,13.28,2,1995,40,12,5600,credit_card,10000,9644.04,95
computer technician,10,RENT,87000,12.03,0,2007,15,5,10500,major_purchase,40000,37500.99,100
mechanic,3,MORTGAGE,80000,29.36,0,2008,20,14,9600,debt_consolidation,25000,24447.24,100
counselor,8,MORTGAGE,48000,28.78,0,2002,30,11,11000,debt_consolidation,19000,18165.29,100
flight attendant,10,RENT,105000,19.82,0,2010,8,5,28500,debt_consolidation,16000,14807.25,100
,NA,OWN,65244,5.01,0,1994,17,10,50900,debt_consolidation,13700,11925.11,100
program manager,10,MORTGAGE,166000,19.81,1,1986,26,11,49200,credit_card,40000,36171.45,96.2
cna,2,MORTGAGE,30000,12.6,0,2013,6,6,15700,credit_card,6000,5396.56,100
western regional manager,10,MORTGAGE,180000,43.62,1,2003,39,18,51300,debt_consolidation,40000,39092.13,97.4
owner,10,RENT,100000,17.1,0,2004,21,13,29800,debt_consolidation,12000,11517.93,90
